,date,temp_C,precip_mm,wind_avg_ms,sun_hours,humidity_pct,visibility_min_m,visibility_max_m
24345,2017-08-27,18.6,0.0,1.5,11.5,73.0,200.0,47000.0
24346,2017-08-28,19.5,0.0,1.4,10.8,76.0,1600.0,37000.0
24347,2017-08-29,21.0,-0.1,2.8,7.4,77.0,3300.0,32000.0
24348,2017-08-30,16.8,45.8,4.3,0.1,94.0,3200.0,20000.0
24349,2017-08-31,14.8,1.9,3.5,6.6,80.0,4700.0,42000.0
24350,2017-09-01,14.7,-0.1,1.9,6.0,76.0,11000.0,47000.0
24351,2017-09-02,14.4,0.0,2.3,11.0,76.0,10000.0,47000.0
24352,2017-09-03,14.6,0.0,2.0,9.4,78.0,9000.0,32000.0
24353,2017-09-04,17.0,-0.1,3.6,5.5,75.0,5500.0,37000.0
24354,2017-09-05,18.6,0.1,4.8,1.5,85.0,3500.0,25000.0
24355,2017-09-06,16.0,3.2,6.7,1.7,78.0,6000.0,29000.0
24356,2017-09-07,16.2,3.0,5.3,2.4,75.0,8000.0,32000.0
24357,2017-09-08,14.9,67.2,6.3,0.0,94.0,3200.0,20000.0
24358,2017-09-09,14.1,7.0,4.5,5.1,84.0,10000.0,37000.0
24359,2017-09-10,14.4,0.5,7.0,5.8,84.0,9000.0,42000.0
24360,2017-09-11,14.1,17.2,9.0,5.0,86.0,3700.0,26000.0
24361,2017-09-12,14.9,2.7,7.4,8.5,75.0,7000.0,32000.0
24362,2017-09-13,14.7,5.5,11.1,4.6,72.0,8000.0,37000.0
24363,2017-09-14,12.7,13.6,6.7,2.3,80.0,6000.0,32000.0
24364,2017-09-15,12.6,10.2,4.6,6.8,84.0,15000.0,42000.0
24365,2017-09-16,11.6,9.5,3.9,0.6,90.0,7000.0,25000.0
24366,2017-09-17,11.9,2.1,2.4,8.6,84.0,2100.0,32000.0
24367,2017-09-18,12.2,0.1,3.0,4.8,87.0,6000.0,32000.0
24368,2017-09-19,12.7,-0.1,2.3,6.2,84.0,200.0,42000.0
24369,2017-09-20,14.3,0.5,3.8,4.3,80.0,8000.0,42000.0
24370,2017-09-21,14.4,0.0,4.0,8.3,79.0,12000.0,42000.0
24371,2017-09-22,12.3,0.2,1.9,2.8,90.0,1200.0,25000.0
24372,2017-09-23,12.2,0.0,1.6,10.2,81.0,400.0,42000.0
24373,2017-09-24,13.5,0.0,2.7,8.4,88.0,200.0,14000.0
24374,2017-09-25,14.6,0.0,3.6,3.7,88.0,3300.0,16000.0
24375,2017-09-26,13.9,0.0,2.9,4.0,91.0,1100.0,8000.0
24376,2017-09-27,14.3,0.0,3.1,6.6,87.0,200.0,13000.0
24377,2017-09-28,15.9,3.7,3.4,0.7,90.0,600.0,20000.0
24378,2017-09-29,16.8,16.9,4.0,2.4,91.0,200.0,25000.0
24379,2017-09-30,13.5,0.5,2.6,1.3,89.0,4100.0,25000.0
24380,2017-10-01,14.0,0.1,6.3,2.1,83.0,8000.0,32000.0
24381,2017-10-02,15.7,0.4,8.7,2.3,74.0,6000.0,27000.0
24382,2017-10-03,13.9,2.9,6.3,5.6,72.0,6000.0,32000.0
24383,2017-10-04,13.6,1.7,7.9,0.4,69.0,4400.0,42000.0
24384,2017-10-05,13.3,15.0,10.2,6.8,78.0,3500.0,32000.0
24385,2017-10-06,11.8,5.6,6.8,5.9,81.0,6000.0,25000.0
24386,2017-10-07,12.7,11.4,6.5,0.0,89.0,2300.0,25000.0
24387,2017-10-08,12.7,-0.1,2.8,3.3,82.0,13000.0,25000.0
24388,2017-10-09,12.5,7.7,2.8,0.0,94.0,4300.0,20000.0
24389,2017-10-10,14.5,0.3,6.0,1.0,88.0,2800.0,25000.0
