,object_id,weekday_2023,weekday_2022,weekday_2021,weekday_2020,weekday_2019,weekday_2018,weekday_2017,location_code,wkt_lng_lat,wkt_lat_lng,longitude,latitude,geometry
0,1,0,0,0,0,724,0,569,VRA01_0001,POINT(5.1353 52.32418),POINT(52.32418 5.1353),5.1353,52.32418,POINT (137826.493779814 481833.9483988528)
1,2,2365,2736,1279,1764,2398,2521,2187,VRA01_0002,POINT(5.023534 52.302822),POINT(52.302822 5.023534),5.023534,52.302822,POINT (130194.991803014 479489.9450488187)
2,3,634,673,546,442,590,775,547,VRA01_0003,POINT(5.011511 52.332756),POINT(52.332756 5.011511),5.011511,52.332756,POINT (129392.1958390547 482824.6607999831)
3,4,723,716,476,0,388,563,359,VRA01_0004,POINT(5.01383 52.340321),POINT(52.340321 5.01383),5.01383,52.340321,POINT (129554.5962632408 483665.549085776)
4,5,597,532,517,0,466,497,0,VRA01_0005,POINT(4.987085 52.33948),POINT(52.33948 4.987085),4.987085,52.33948,POINT (127731.4239688378 483581.7005233628)
5,6,8114,9356,7164,0,7636,0,6481,VRA01_0008,POINT(4.965429 52.356421),POINT(52.356421 4.965429),4.965429,52.356421,POINT (126266.5218101288 485474.9734201851)
6,7,3203,3739,3187,0,3198,3249,2827,VRA01_0009,POINT(4.962548 52.370277),POINT(52.370277 4.962548),4.962548,52.370277,POINT (126079.2874786342 487017.7840218948)
7,8,3192,3789,3193,0,3215,3159,2848,VRA01_0010,POINT(4.962151 52.370316),POINT(52.370316 4.962151),4.962151,52.370316,POINT (126052.2759310905 487022.2817867866)
8,9,375,779,648,0,651,0,0,VRA01_0011,POINT(4.975172 52.383457),POINT(52.383457 4.975172),4.975172,52.383457,POINT (126947.3604972179 488479.2772421259)
9,10,0,681,483,0,868,922,0,VRA01_0012,POINT(4.975987 52.383745),POINT(52.383745 4.975987),4.975987,52.383745,POINT (127003.0300255791 488511.0060748968)
10,11,3822,4171,3967,0,4110,4008,0,VRA01_0013,POINT(4.954126 52.344411),POINT(52.344411 4.954126),4.954126,52.344411,POINT (125488.5264840621 484143.2456494461)
11,12,4011,3258,3039,0,3967,3878,3517,VRA01_0014,POINT(4.943703 52.336586),POINT(52.336586 4.943703),4.943703,52.336586,POINT (124772.946108064 483276.9094665941)
12,13,6177,5551,5032,0,6899,6733,6026,VRA01_0015,POINT(4.946133 52.335177),POINT(52.335177 4.946133),4.946133,52.335177,POINT (124937.6087514315 483119.1299940787)
13,14,276,640,671,0,1018,1164,0,VRA01_0016,POINT(4.93239 52.334127),POINT(52.334127 4.93239),4.93239,52.334127,POINT (124000.1931568577 483008.0922860918)
14,15,0,0,0,0,2319,2312,2408,VRA01_0017,POINT(4.923148 52.336497),POINT(52.336497 4.923148),4.923148,52.336497,POINT (123371.9590711361 483275.776545928)
