cluster_id,accident_count,center_lat,center_lon,lat_std,lon_std,year_range,avg_year,top_streets
138,53,52.36058608733066,4.842210334077068,0.001768745140419752,0.0006691721476959825,2020-2020,2020.0,"Ringweg-West (35), Cornelis Lelylaan (9), OSDORP 6 (3)"
87,53,52.35699001072727,4.799050764263727,0.005406873020816357,0.007756563857292508,2015-2015,2015.0,"Meer en Vaart (11), Pieter Calandlaan (10), Osdorper Ban (5)"
88,53,52.362910872461356,4.937315184292269,0.0018449710934814452,0.007570422255922595,2018-2018,2018.0,"Javastraat (13), Molukkenstraat (8), Zuiderzeeweg (7)"
100,53,52.389433116646174,4.9179855004481405,0.004256566987227232,0.006793055163852278,2022-2022,2022.0,"Nieuwe Leeuwarderweg (13), Johan van Hasseltweg (8), Meeuwenlaan (5)"
76,52,52.41035611344486,4.860766202739852,0.000286119013801292,0.0006023852928565263,2021-2021,2021.0,Ringweg-West (52)
32,51,52.42864547815283,4.871100278548622,0.0015714308629021603,0.0019364222738322443,2022-2022,2022.0,"Coentunnelweg (27), KP COENPLEIN (21), Oostzanerdijk (1)"
142,51,52.33766494941494,4.846979122950252,0.00033842815421641724,0.001961913556318616,2021-2021,2021.0,"Ringweg-Zuid (23), Nieuwe Haagseweg (21), Ringweg-West (7)"
77,51,52.40661216607342,4.931891716409723,0.001751312453599776,0.012740432477985623,2016-2016,2016.0,"Ringweg-Noord (23), Nieuwe Leeuwarderweg (8), Statenjachtstraat (5)"
110,51,52.33773742562489,4.8158232069454705,0.001012276461225005,0.005944912376121231,2020-2020,2020.0,"Nieuwe Haagseweg (43), AMSTERDAM-SLOTEN 1 (8)"
11,50,52.284378705574724,4.95092742546552,0.0014920161746572523,0.0018063456235031664,2022-2022,2022.0,"KP HOLENDRECHT (29), RYKSWG (16), AMSTERDAM-ZUIDOOST AMC 2 (4)"
78,50,52.33782455548733,4.822420090518429,0.0009948862537961893,0.008921631505856367,2018-2018,2018.0,"Nieuwe Haagseweg (40), KP DE NIEUWE MEER (8), Oude Haagseweg (2)"
166,50,52.34991668699699,4.856044967376756,0.002658240153798,0.004939251895118614,2023-2023,2023.0,"Zeilstraat (7), Amstelveenseweg (5), Cornelis Krusemanstraat (5)"
